gene_id,gene_name,between_tissue_gini,median_within_tissue_gini,median_within_tissue_cv,mean_global_tpm
ENSG00000188290.11,HES4,0.3520741009194875,0.3240061199919541,0.6605268120765686,29.649576
ENSG00000157933.11,SKI,0.3907077901247495,0.1695963943322924,0.3036389946937561,56.381714
ENSG00000197921.6,HES5,0.6198125988766807,0.5342754120854676,1.2274961471557615,2.580808
ENSG00000142611.17,PRDM16,0.6249650778182666,0.3106275314514661,0.5974273681640625,5.8983974
ENSG00000078900.16,TP73,0.7234238453578901,0.3983230895994168,0.8728363513946533,1.8967012
ENSG00000173673.9,HES3,0.6898271020537923,0.3514175408547577,0.6493016481399536,0.018493427
ENSG00000069812.11,HES2,0.8623189221111475,0.51168411830083,1.096976399421692,2.9824996
ENSG00000204859.13,ZBTB48,0.2968087927206779,0.1708344284226401,0.3114399313926697,25.901773
ENSG00000041988.16,THAP3,0.2233513977739144,0.1739747025422731,0.3151979744434356,14.12021
ENSG00000171735.21,CAMTA1,0.3367084612453691,0.1632354204749083,0.294764906167984,6.4508777
ENSG00000175279.22,CENPS,0.3627956595260836,0.1836811511139122,0.3297423720359802,12.830027
ENSG00000130940.15,CASZ1,0.5929735016412274,0.2615142544075461,0.4745396375656128,11.866877
ENSG00000116731.23,PRDM2,0.236942509584566,0.1486268732219393,0.2701787650585174,18.572008
ENSG00000065526.13,SPEN,0.2869677867560571,0.16259370798697,0.302665114402771,24.605545
ENSG00000116809.12,ZBTB17,0.2188698020466205,0.1567364746876902,0.2907577157020569,22.973852
ENSG00000009709.13,PAX7,0.8100732198966428,0.4629253857988831,0.8823758363723755,0.15237911
ENSG00000184677.18,ZBTB40,0.3152701799211614,0.1927003500506691,0.3523076772689819,15.571197
ENSG00000125945.16,ZNF436,0.3003978143679182,0.2689118281778795,0.5316419005393982,13.856052
ENSG00000007968.7,E2F2,0.7725753864340369,0.4880482944631453,1.0772782564163208,2.6219933
ENSG00000158055.17,GRHL3,0.8868396646085424,0.5142099468550104,1.3543411493301392,9.861878
ENSG00000020633.19,RUNX3,0.7822098874335935,0.35789072619842,0.7711548805236816,11.56353
ENSG00000176083.18,ZNF683,0.911049226656253,0.6349350656071766,1.593047261238098,3.3498337
ENSG00000131914.11,LIN28A,0.9399842768971955,0.2907920259037988,0.5132024884223938,0.28733414
ENSG00000126705.15,AHDC1,0.3555712568682523,0.2057351344060066,0.3957958221435547,24.059687
ENSG00000162419.13,GMEB1,0.2666354306444594,0.1381411364895,0.2450491786003112,4.964445
ENSG00000273274.2,ZBTB8B,0.6544142004027454,0.2726618223477733,0.5347985029220581,0.16195305
ENSG00000160062.15,ZBTB8A,0.3608085104076854,0.2177941399152674,0.4019450843334198,3.5033529
ENSG00000160094.15,ZNF362,0.2744761119632196,0.1700833290005847,0.3006587326526642,26.256884
ENSG00000121903.15,ZSCAN20,0.2784436132702581,0.2163291812090468,0.394547551870346,1.6114916
ENSG00000116819.9,TFAP2E,0.5878050218248053,0.2907455574245098,0.5573768615722656,5.8919063
ENSG00000188786.10,MTF1,0.2542434885064019,0.1609318352447238,0.2917835116386413,7.2987294
ENSG00000185668.8,POU3F1,0.8170723190529383,0.4441962830541084,1.0681389570236206,7.2745256
ENSG00000163909.8,HEYL,0.573807868550645,0.3425044264566326,0.6874717473983765,28.020731
ENSG00000116990.12,MYCL,0.7359274151915608,0.3938772546402715,0.8169272541999817,5.125118
ENSG00000117000.9,RLF,0.2654660920351136,0.2154549403461826,0.4143721759319305,14.891825
ENSG00000187801.15,ZFP69B,0.3441066691216439,0.2851785322080231,0.5377970337867737,1.1403909
ENSG00000187815.10,ZFP69,0.234886624279991,0.2074766892904104,0.3780644834041595,3.2151186
ENSG00000117010.17,ZNF684,0.2160900612741922,0.2006161105249485,0.3643099963665008,2.5767472
ENSG00000066136.21,NFYC,0.2208919273698511,0.1178062732696952,0.2106681168079376,27.376453
ENSG00000010803.17,SCMH1,0.3488525141631821,0.160297941465922,0.2916319966316223,31.381758
ENSG00000204060.8,FOXO6,0.4824309757359236,0.3189020020308011,0.5885874629020691,3.4242089
ENSG00000127124.16,HIVEP3,0.3849472574469682,0.252264410552785,0.5084360837936401,2.986774
ENSG00000198815.9,FOXJ3,0.2328606301287943,0.1421337950535891,0.2615941762924194,25.568645
ENSG00000065978.19,YBX1,0.361975904687623,0.1619057172172758,0.2970613241195678,316.06607
ENSG00000164011.18,ZNF691,0.2615834622362719,0.1954827338091032,0.3484818935394287,10.579258
ENSG00000171872.5,KLF17,0.8617324728321659,0.4851438614229705,0.9565722346305848,0.7834111
ENSG00000159588.15,CCDC17,0.6520085670250313,0.2822579825981323,0.5415699481964111,4.672945
ENSG00000159592.11,GPBP1L1,0.2360329798930207,0.1354217915882398,0.2426885813474655,32.07032
ENSG00000197587.12,DMBX1,0.8302773586930768,0.7098572877067862,1.8396154642105105,0.09800607
ENSG00000162367.12,TAL1,0.4542095559627748,0.3146331895252878,0.6372649669647217,5.8907766
ENSG00000186790.6,FOXE3,0.6363253217371622,0.4528240167271536,0.9536635875701904,0.22948997
ENSG00000186564.6,FOXD2,0.7261554743822783,0.3988310153846381,0.8193504810333252,2.4018645
ENSG00000142700.12,DMRTA2,0.8282888977945826,0.4636017094835059,1.001965045928955,0.30352536
ENSG00000143006.7,DMRTB1,0.9766992999492636,0.3801700947131089,0.9196121096611024,2.600271
ENSG00000174332.6,GLIS1,0.5792112459196274,0.3763150729538453,0.7314382791519165,2.0636039
ENSG00000162601.12,MYSM1,0.2897703983402571,0.1901895335057557,0.3486195206642151,12.068015
ENSG00000177606.9,JUN,0.4029736234611238,0.4032800122472063,0.8835773468017578,262.3948
ENSG00000162599.18,NFIA,0.3237073452065801,0.1711595044668879,0.311911016702652,11.650819
ENSG00000187140.6,FOXD3,0.8202442231554491,0.5642314311427404,1.2843226194381714,1.3917831
ENSG00000162624.16,LHX8,0.8578206856678343,0.5464455291150254,1.287694215774536,0.17360921
ENSG00000036549.13,ZZZ3,0.263263565345872,0.1646851789480931,0.2988133728504181,9.6003
ENSG00000137947.12,GTF2B,0.2141703971586024,0.1413581872638482,0.2585874795913696,20.412666
ENSG00000162664.17,ZNF326,0.2310532654922964,0.1613682348226512,0.2955969274044037,9.686437
ENSG00000143032.8,BARHL2,0.9550411685924084,0.7093180253280316,2.2133092880249023,2.637525
ENSG00000122482.22,ZNF644,0.2507078059446866,0.170743987425792,0.3182249367237091,10.267529
ENSG00000162676.13,GFI1,0.6736535866890432,0.3556078789637761,0.717171847820282,1.3735019
ENSG00000143033.18,MTF2,0.2939967692984832,0.2006669346802526,0.3855617940425873,11.049628
ENSG00000117505.13,DR1,0.2562835831732329,0.1564372751353421,0.2833980917930603,11.888891
ENSG00000156150.9,ALX3,0.7014276922206842,0.5943760130737665,1.3159034252166748,0.11452592
ENSG00000177551.5,NHLH2,0.7918747506643744,0.3689588597890529,0.7801520824432373,0.55331117
ENSG00000092607.15,TBX15,0.8165928503147942,0.3929521482847878,0.8311256170272827,11.646101
ENSG00000143067.5,ZNF697,0.3725080551804916,0.2545629565821851,0.4838374555110931,3.9935129
ENSG00000143437.21,ARNT,0.3160560768299213,0.1615226936208666,0.2898697853088379,33.23492
ENSG00000143379.13,SETDB1,0.2925261420236979,0.1509542763941894,0.269067108631134,17.493822
ENSG00000143373.18,ZNF687,0.2419884128917464,0.1430455018802341,0.2584633231163025,15.520593
ENSG00000143390.18,RFX5,0.3066491779955318,0.1825785958404029,0.3335217833518982,22.958818
ENSG00000143365.20,RORC,0.6891890914697905,0.4685758125967924,1.0894668102264404,15.122993
ENSG00000143614.11,GATAD2B,0.2491209881723231,0.169239539188143,0.308025598526001,16.130804
ENSG00000143578.16,CREB3L4,0.4805831032008618,0.2147639386939322,0.3913633525371551,11.145519
ENSG00000160685.14,ZBTB7B,0.4294390434278449,0.1933310511231541,0.3559466004371643,51.85648
ENSG00000116539.14,ASH1L,0.2440089653955174,0.1848538157016822,0.327599823474884,19.528704
ENSG00000198715.13,GLMP,0.3313279625742465,0.2006631057020859,0.3671633303165436,18.809479
ENSG00000116604.19,MEF2D,0.3181438725940322,0.1787067933903897,0.3296549320220947,55.212708
ENSG00000253831.3,ETV3L,0.7734016869640924,0.5528038964199009,1.408195972442627,0.10169118
ENSG00000117036.12,ETV3,0.3450928480146356,0.1932987015248842,0.3836357295513153,11.398972
ENSG00000171786.6,NHLH1,0.4640993829261052,0.3683287541616116,0.7253961563110352,0.62080616
ENSG00000158773.14,USF1,0.2531073407358309,0.1412668068247106,0.2685157060623169,66.79567
ENSG00000143257.12,NR1I3,0.8033381955461918,0.297114182223994,0.5740100741386414,2.1521275
ENSG00000118217.7,ATF6,0.2383615411967646,0.1580488164592583,0.2878822982311249,9.651725
ENSG00000185630.20,PBX1,0.4850518038334493,0.2275162914928737,0.4176430106163025,17.85496
ENSG00000162761.14,LMX1A,0.7263778613639575,0.5630420659555395,1.2377525568008425,0.3555468
ENSG00000143171.13,RXRG,0.6022129231952539,0.4068929750741743,0.8909566402435303,5.9126506
ENSG00000143157.12,POGK,0.2066676424349786,0.1571027268616857,0.2829022407531738,16.74138
ENSG00000143190.23,POU2F1,0.2835903017318808,0.1779570636751046,0.3283801972866058,5.589442
ENSG00000143178.13,TBX19,0.597416017221163,0.3057080579296469,0.6063251495361328,6.3955774
ENSG00000116132.12,PRRX1,0.6076649275477487,0.2850113709546441,0.5703449249267578,26.793175
ENSG00000185278.16,ZBTB37,0.2888149354307338,0.208551336542569,0.3961230814456939,4.318004
ENSG00000121454.6,LHX4,0.3580140190622998,0.2629193126295072,0.4841910898685455,1.7402401
ENSG00000179930.6,ZNF648,0.6713014468440185,0.443341560210126,0.8544167280197144,0.0927708
ENSG00000177888.8,ZBTB41,0.254620487207851,0.202636306519129,0.3640525639057159,5.66923
ENSG00000143355.16,LHX9,0.8563949497647011,0.5939506785287068,1.4038312435150146,0.15751861
ENSG00000116833.14,NR5A2,0.6914388319154732,0.3781524041630613,0.7314043045043945,2.118411
ENSG00000162702.8,ZNF281,0.2949088663104011,0.2155716680399288,0.3988460898399353,7.9287314
ENSG00000232237.5,ASCL5,0.4355286089287974,0.4221870234763681,0.8124197125434875,0.32632598
ENSG00000163435.16,ELF3,0.7705098923461279,0.4832435600750972,1.093914031982422,19.9229
ENSG00000117139.18,KDM5B,0.4070477806258827,0.1698726125505995,0.3225125074386596,11.772527
ENSG00000122180.5,MYOG,0.94882131288521,0.5058308971211305,1.0798053741455078,3.9720838
ENSG00000257315.4,ZBED6,0.3624140925722222,0.3227675837153141,0.5952044725418091,2.1148028
ENSG00000143842.15,SOX13,0.4433241603802054,0.2087067282728968,0.3964894711971283,21.752104
ENSG00000158711.14,ELK4,0.3199194048413997,0.1833199124062417,0.3422394096851349,12.222206
ENSG00000117595.13,IRF6,0.725666795596333,0.3913398624667934,0.8249809741973877,26.182634
ENSG00000162772.18,ATF3,0.4778094893565573,0.5780523764122436,1.5150446891784668,65.15692
ENSG00000123685.9,BATF3,0.3914969978437443,0.3563418284603537,0.7363634705543518,3.5241623
ENSG00000117707.17,PROX1,0.5307190994703239,0.3583206265053663,0.7158603072166443,3.730075
ENSG00000196482.18,ESRRG,0.5863678671293711,0.3985583881232607,0.79679274559021,1.1415043
ENSG00000136630.13,HLX,0.5360309809880655,0.3052606956081855,0.6175451278686523,20.851227
ENSG00000185155.12,MIXL1,0.6766467776791455,0.5097222981608394,1.1281472444534302,0.25925228
ENSG00000181450.18,ZNF678,0.2817568759479321,0.2191219922748033,0.4067088663578033,2.1939805
ENSG00000179456.12,ZBTB18,0.588805916949201,0.1857172023735304,0.3417231142520904,31.971403
ENSG00000185420.19,SMYD3,0.2555961187822161,0.2018763933337263,0.3668735027313232,5.4563212
ENSG00000153207.16,AHCTF1,0.2983710171123241,0.1681312475045003,0.3070124387741089,16.046915
ENSG00000197472.15,ZNF695,0.6500247383449043,0.4202291018556335,0.808163583278656,0.18499495
ENSG00000277462.2,ZNF670,0.3134445763563088,0.2096847659996592,0.388762503862381,2.0770671
ENSG00000188295.15,ZNF669,0.2909612024036894,0.2255032556992096,0.4071442484855652,2.9046485
ENSG00000196418.13,ZNF124,0.3367440027906162,0.2245718055217761,0.4135893583297729,1.5110519
ENSG00000162714.13,ZNF496,0.3299353301444103,0.184062527817432,0.332279622554779,10.10184
ENSG00000171161.13,ZNF672,0.1976627798311834,0.1312400028802971,0.240007147192955,23.956606
ENSG00000171163.16,ZNF692,0.2977971600400945,0.2454099811888517,0.4555991590023041,40.545357
ENSG00000186487.21,MYT1L,0.7930379477467238,0.3955117922709637,0.7176607251167297,1.2377515
ENSG00000176887.7,SOX11,0.6944527731635042,0.3686665634639353,0.702397882938385,0.35865262
ENSG00000134317.18,GRHL1,0.8036245560239008,0.3770268652271753,0.8297775983810425,17.878609
ENSG00000172059.11,KLF11,0.4228950471182901,0.258194894541793,0.463604211807251,20.592522
ENSG00000169016.17,E2F6,0.2218011143166663,0.1641472469268081,0.2961031794548034,8.497854
ENSG00000134323.13,MYCN,0.5278986434368682,0.3951380324301015,0.810809314250946,1.8625705
ENSG00000151379.4,MSGN1,0.774091553117178,0.5341704992209578,1.162808179855347,0.033070583
ENSG00000143867.7,OSR1,0.6672352706099663,0.4304111421127341,0.9050325751304626,27.862198
ENSG00000084676.16,NCOA1,0.1950666852818522,0.1661110259309677,0.3044935166835785,26.146084
ENSG00000115163.15,CENPA,0.7857919653354436,0.51893204781936,1.237543702125549,2.3265524
ENSG00000138073.14,PREB,0.2367991876575925,0.1710712800922927,0.3103498220443725,66.812225
ENSG00000163792.6,TCF23,0.920032049063705,0.6444355953988146,1.755100965499878,1.7706176
ENSG00000163795.14,ZNF513,0.2341729990344245,0.1465965693554859,0.2734952569007873,28.492588
ENSG00000243943.10,ZNF512,0.3026730488684798,0.1805416108233571,0.3269045650959015,29.885574
ENSG00000075426.12,FOSL2,0.4349782995544133,0.3174140618598756,0.6358223557472229,110.026474
ENSG00000115816.15,CEBPZ,0.2714401777172495,0.197434846892135,0.3568252921104431,21.36548
ENSG00000138083.5,SIX3,0.8883240400339509,0.5486820514546775,1.135253667831421,3.1805227
ENSG00000170577.8,SIX2,0.7283307646785325,0.4846059758883189,1.108930230140686,4.7590857
ENSG00000116016.14,EPAS1,0.5226468647050753,0.2335732498937678,0.4520637094974518,218.83704
ENSG00000170802.17,FOXN2,0.3123400506830315,0.2124132476816279,0.3978450000286102,9.366387
ENSG00000119866.22,BCL11A,0.5731200169970426,0.3496692511844738,0.6509438157081604,1.8466911
ENSG00000162924.16,REL,0.454008717683168,0.3004339651813738,0.603171169757843,3.175583
ENSG00000115507.10,OTX1,0.8388216726261186,0.4058832839013274,0.8105839490890503,1.55919
ENSG00000143995.20,MEIS1,0.5977225030195198,0.2466287730651317,0.4825680255889892,18.15621
ENSG00000059728.11,MXD1,0.6637127702587868,0.2982982545728209,0.656217634677887,47.816643
ENSG00000183733.6,FIGLA,0.6275074447563499,0.5993993219772507,1.2863047122955322,0.16949396
ENSG00000116035.4,VAX2,0.567140256028235,0.3314039651086604,0.6472130417823792,1.7423812
ENSG00000135638.14,EMX1,0.869942123898948,0.4278671825254205,0.8664478063583374,0.74532425
ENSG00000214513.4,NOTO,0.5578931146465694,0.3128752094357189,0.5600525140762329,0.019516397
ENSG00000135625.8,EGR4,0.8244736044313686,0.6621679356337344,2.139008045196533,2.6688535
ENSG00000187605.17,TET3,0.4379959649427883,0.2443771126584624,0.4563865065574646,6.7860527
ENSG00000179528.16,LBX2,0.4849124790472497,0.3817464111996759,0.7602112889289856,0.6221406
ENSG00000115297.11,TLX2,0.7148852055448999,0.4214719735807709,0.8410945534706116,0.25471175
ENSG00000176407.18,KCMF1,0.1889965235403879,0.1367255178704092,0.2534058392047882,16.251728
ENSG00000152284.5,TCF7L1,0.4725429165390793,0.2046599968321183,0.3793185651302337,25.686602
ENSG00000168874.14,ATOH8,0.5157833156135804,0.3392386442514636,0.6765225529670715,16.49615
ENSG00000214336.5,FOXI3,0.7738644627735476,0.6348111223579186,1.609687566757202,0.043404076
ENSG00000144026.14,ZNF514,0.3355245585056319,0.2535779436785996,0.4795272946357727,11.990765
ENSG00000275111.5,ZNF2,0.2271463636057537,0.1947749888136142,0.345234215259552,2.928796
ENSG00000115041.14,KCNIP3,0.4204867696042799,0.2487769880880097,0.4595576524734497,9.648851
ENSG00000196843.18,ARID5A,0.4804174919923318,0.3726096805153184,0.8499758839607239,62.57254
ENSG00000170485.17,NPAS2,0.265347683169914,0.2590287985650835,0.4827857613563537,17.538668
ENSG00000196460.14,RFX8,0.6815652932298526,0.4382969460957522,0.9058210849761964,2.4956143
ENSG00000198914.5,POU3F3,0.720006094270492,0.390787491892938,0.7912101149559021,6.0763674
ENSG00000144161.14,ZC3H8,0.2408367104608232,0.1796026952045894,0.3296577930450439,5.7467365
ENSG00000125618.18,PAX8,0.9344291557638856,0.4078039139739251,0.8304232954978943,48.61281
ENSG00000184492.7,FOXD4L1,0.5239774233982869,0.4316974913510418,0.8530619740486145,0.24044912
ENSG00000163064.7,EN1,0.8626641952718451,0.550590391312827,1.285483479499817,2.446823
